order_id,date,region,city,category,product,customer_type,sales_amount,quantity,discount,profit,channel,status
SO-202501-0355,2025-01-01,Southwest,Chongqing,Electronics,USB-C Hub,SMB,1987.2,12,0.1,386.82,Retail,Pending
SO-202501-0471,2025-01-03,East China,Nanjing,Home Appliances,Coffee Machine,Enterprise,4554.3,38,0.15,908.95,Online,Completed
SO-202501-0433,2025-01-04,Southwest,Guiyang,Software,Cloud Storage,Enterprise,30876.12,33,0.08,13884.88,Online,Pending
SO-202501-0390,2025-01-06,Southwest,Chongqing,Office Supplies,Marker Pack,SMB,658.56,8,0.02,204.53,Partner,Completed
SO-202501-0168,2025-01-07,Southwest,Chongqing,Office Supplies,Notebook Set,Individual,237.6,4,0.1,69.15,Retail,Pending
SO-202501-0296,2025-01-07,South China,Guangzhou,Electronics,USB-C Hub,SMB,4331.36,11,0.08,738.55,Online,Completed
SO-202501-0309,2025-01-07,East China,Suzhou,Office Supplies,Printer Paper,Enterprise,698.25,21,0.05,201.21,Online,Completed
SO-202501-0022,2025-01-09,North China,Beijing,Office Supplies,Desk Organizer,Individual,291.6,12,0.1,74.9,Online,Completed
SO-202501-0204,2025-01-10,South China,Foshan,Electronics,Monitor 27,SMB,708,2,0,104.97,Retail,Completed
SO-202501-0323,2025-01-16,South China,Guangzhou,Home Appliances,Mini Fan,SMB,1037.76,4,0.08,234.53,Corporate,Completed
SO-202501-0382,2025-01-16,North China,Jinan,Office Supplies,Printer Paper,Individual,245.1,3,0.05,75.82,Retail,Completed
SO-202501-0373,2025-01-19,Southwest,Chengdu,Home Appliances,Desk Lamp,SMB,261.8,4,0.15,66.92,Online,Completed
SO-202501-0399,2025-01-20,East China,Nanjing,Home Appliances,Air Purifier,SMB,362.6,1,0.02,-29.01,Retail,Refunded
SO-202501-0038,2025-01-21,Southwest,Guiyang,Electronics,USB-C Hub,SMB,4603.06,7,0.02,824.22,Corporate,Completed
SO-202501-0218,2025-01-25,East China,Nanjing,Electronics,USB-C Hub,Enterprise,7586.32,19,0.08,1360.7,Online,Completed
SO-202501-0069,2025-01-30,South China,Foshan,Electronics,USB-C Hub,SMB,1694.7,7,0.1,329.69,Corporate,Completed
SO-202502-0415,2025-02-01,East China,Suzhou,Software,Security Suite,SMB,5885.88,7,0.02,2813.39,Partner,Completed
SO-202502-0449,2025-02-02,South China,Foshan,Office Supplies,Notebook Set,SMB,339.15,7,0.05,97.77,Partner,Pending
SO-202502-0173,2025-02-03,East China,Nanjing,Electronics,Wireless Mouse,Enterprise,3385.8,19,0.1,-270.86,Retail,Refunded
SO-202502-0235,2025-02-03,East China,Nanjing,Office Supplies,Notebook Set,Individual,216.6,6,0.05,54.89,Partner,Completed
SO-202502-0252,2025-02-03,Southwest,Chengdu,Home Appliances,Desk Lamp,SMB,3000,8,0,703.48,Corporate,Completed
SO-202502-0120,2025-02-05,East China,Shanghai,Office Supplies,Desk Organizer,SMB,782.0,10,0.08,247.04,Corporate,Completed
SO-202502-0436,2025-02-06,East China,Shanghai,Office Supplies,Marker Pack,Individual,389.16,9,0.08,123.49,Partner,Completed
SO-202502-0060,2025-02-07,Southwest,Chengdu,Home Appliances,Mini Fan,Individual,2431.8,7,0.1,527.6,Corporate,Completed
SO-202502-0304,2025-02-07,North China,Jinan,Office Supplies,Desk Organizer,Individual,225.0,10,0.1,55.63,Partner,Completed
SO-202502-0437,2025-02-07,North China,Beijing,Home Appliances,Air Purifier,Individual,1429.2,4,0.1,274.29,Partner,Pending
SO-202502-0443,2025-02-08,East China,Suzhou,Electronics,USB-C Hub,SMB,621.9,1,0.1,135.66,Corporate,Pending
SO-202502-0435,2025-02-10,Southwest,Chongqing,Home Appliances,Coffee Machine,Enterprise,3165.72,37,0.08,756.06,Online,Completed
SO-202502-0518,2025-02-12,East China,Nanjing,Office Supplies,Marker Pack,SMB,132.48,3,0.08,33.3,Corporate,Completed
SO-202502-0350,2025-02-13,South China,Foshan,Software,Security Suite,SMB,761.76,1,0.08,354.95,Retail,Completed
SO-202502-0188,2025-02-15,South China,Guangzhou,Home Appliances,Air Purifier,Enterprise,5677.2,19,0.1,-454.18,Retail,Refunded
SO-202502-0403,2025-02-15,South China,Foshan,Software,CRM License,Enterprise,20315.0,25,0.15,10388.5,Online,Completed
SO-202502-0154,2025-02-16,Southwest,Kunming,Electronics,Laptop Pro 14,SMB,404.74,1,0.02,-32.38,Online,Refunded
SO-202502-0008,2025-02-18,South China,Shenzhen,Office Supplies,Marker Pack,SMB,422.1,7,0.1,130.37,Online,Completed
SO-202502-0133,2025-02-19,South China,Foshan,Software,Cloud Storage,Enterprise,12887.7,14,0.15,-1031.02,Corporate,Refunded
SO-202502-0474,2025-02-19,North China,Qingdao,Electronics,Wireless Mouse,Individual,2764.5,10,0.05,569.89,Retail,Completed
SO-202502-0052,2025-02-22,North China,Jinan,Electronics,Laptop Pro 14,SMB,1391.6,2,0.02,211.43,Partner,Pending
SO-202502-0088,2025-02-22,North China,Qingdao,Home Appliances,Air Purifier,Individual,1039.5,11,0.1,217.68,Retail,Completed
SO-202502-0102,2025-02-23,North China,Beijing,Home Appliances,Air Purifier,SMB,990.0,5,0.1,230.76,Partner,Completed
SO-202502-0144,2025-02-23,South China,Zhuhai,Home Appliances,Coffee Machine,Enterprise,3348.8,28,0.08,730.69,Online,Completed
SO-202502-0203,2025-02-23,Southwest,Kunming,Office Supplies,Marker Pack,Enterprise,346.5,11,0.1,-27.72,Online,Refunded
SO-202502-0109,2025-02-24,Southwest,Kunming,Office Supplies,Marker Pack,SMB,163.2,4,0.15,47.65,Online,Completed
SO-202502-0276,2025-02-25,South China,Shenzhen,Software,Cloud Storage,Individual,8914.8,8,0.05,3958.42,Retail,Completed
SO-202502-0445,2025-02-25,North China,Qingdao,Office Supplies,Marker Pack,SMB,130,10,0,40.82,Corporate,Completed
SO-202502-0457,2025-02-25,South China,Foshan,Home Appliances,Coffee Machine,Enterprise,13009.5,35,0.1,-1040.76,Partner,Refunded
SO-202502-0153,2025-02-26,Southwest,Chongqing,Software,Cloud Storage,Enterprise,4862.0,13,0.15,2224.03,Online,Completed
SO-202502-0455,2025-02-26,North China,Beijing,Electronics,Monitor 27,SMB,1368.5,10,0.15,252.77,Corporate,Completed
SO-202503-0229,2025-03-01,Southwest,Kunming,Office Supplies,Printer Paper,Individual,392.7,11,0.15,96.0,Online,Completed
SO-202503-0394,2025-03-01,South China,Guangzhou,Software,Security Suite,Enterprise,34143.0,30,0.05,17555.25,Partner,Pending
SO-202503-0054,2025-03-03,South China,Shenzhen,Office Supplies,Desk Organizer,Individual,312,4,0,85.08,Online,Pending
SO-202503-0500,2025-03-03,East China,Nanjing,Software,Analytics Add-on,Individual,6072,12,0,-485.76,Retail,Refunded
SO-202503-0018,2025-03-04,North China,Beijing,Electronics,Monitor 27,Individual,1818,9,0,352.72,Retail,Completed
SO-202503-0300,2025-03-10,North China,Beijing,Office Supplies,Marker Pack,SMB,60,3,0,18.72,Corporate,Completed
SO-202503-0393,2025-03-11,Southwest,Chengdu,Home Appliances,Coffee Machine,Individual,3445.2,12,0.1,677.97,Retail,Completed
SO-202503-0481,2025-03-11,South China,Guangzhou,Office Supplies,Printer Paper,Individual,162.0,9,0.1,-12.96,Corporate,Refunded
